"Vaccination.Coverage.Percentage....","Denominator","Race.Sort.Order","Visual.Figure.Number","Week_Ending_Date","Race.and.Ethnicity","Vaccination.Coverage.Status","Pregnancy.Status.at.Vaccination","Pregnancy.Vaccination.Order"
25.9682500672527,25736.0919207211,4.0705251719337,1.3521895618178,"09/11/2021","Hispanic/Latino","Fully Vaccinated","Any","2"
71.1839537305757,44919.2465269791,3.72488213493489,1.62279210542329,"08/13/2022","Hispanic/Latino","Fully Vaccinated","Any","NULL"
36.9306160395965,67319.408844467,2.1381434625946,1.16074593015946,"09/11/2021","Asian, NH","Fully Vaccinated","Before and During Pregnancy","NULL"
79.7364715816453,67597.9806227402,5.50754326302558,1.24643553234637,"01/16/2021","Hispanic/Latino","Fully Vaccinated","Before Pregnancy","NULL"
84.9241957717342,37041.3677763809,1.99263218347915,1.94766892120242,"01/07/2023","All Races/Ethnicity","Fully Vaccinated","Any","3"
4.11375189491082,17767.8473703254,3.10906058782712,1.98834162484854,"04/23/2022","Hispanic/Latino","Fully Vaccinated","Any","3"
47.6879255706444,96738.1852914481,5.42180929007009,1.53566297888756,"05/29/2021","White, NH","Fully Vaccinated","Any","1"
80.5854397087824,64616.4063536343,2.19100423296914,1.04530768655241,"12/11/2021","All Races/Ethnicity","Fully Vaccinated","Any","NULL"
49.7945818062639,79936.2527616858,2.45815299125388,1.60226645460352,"12/11/2021","Hispanic/Latino","Fully Vaccinated","Any","2"
41.2323105979012,97175.6741033436,5.38197634764947,1.72167931729928,"07/30/2022","White, NH","Fully Vaccinated","Any","NULL"
86.402051085094,57454.7885455911,4.09536237502471,1.58302287640981,"04/08/2023","All Races/Ethnicity","Fully Vaccinated","Before Pregnancy","2"
40.9360743040452,41494.0643669672,5.28649376844987,1.52647344418801,"06/11/2022","Asian, NH","Fully Vaccinated","Any","1"
61.1846283813938,10326.2212813378,3.38642166252248,1.35376674565487,"08/13/2022","Hispanic/Latino","Fully Vaccinated","Before and During Pregnancy","NULL"
51.7087961966637,90601.0038632692,5.47115479968488,1.08006178517826,"10/30/2021","Black, NH","Fully Vaccinated","Before and During Pregnancy","NULL"
9.29409884470515,55586.3600707019,1.84534678375348,1.1283928162884,"06/19/2021","Hispanic/Latino","Fully Vaccinated","Before and During Pregnancy","NULL"
81.2541948272847,25004.5923695429,4.10535068856552,1.36587538965978,"01/29/2022","Other, NH","Fully Vaccinated","During Pregnancy","NULL"
22.2217224122258,41887.4860116101,4.61380264861509,1.6001464955043,"08/28/2021","Other, NH","Fully Vaccinated","Any","3"
3.79797587783542,24736.6005150955,1.95108081703074,1.23784336866811,"10/23/2021","Asian, NH","Fully Vaccinated","Any","NULL"
29.611240951228,50377.2559534062,3.84357751137577,1.01814605435356,"04/29/2023","All Races/Ethnicity","Fully Vaccinated","Any","NULL"
86.1916795179946,28211.6875557988,4.35765663767233,1.30987292970531,"02/27/2021","All Races/Ethnicity","Fully Vaccinated","Any","NULL"
80.3254002405563,15709.5561285827,5.59605449344963,1.07801265991293,"03/19/2022","Other, NH","Fully Vaccinated","Any","NULL"
62.5601475759409,11004.2869719593,2.62779848906212,1.25091242347844,"01/14/2023","All Races/Ethnicity","Fully Vaccinated","During Pregnancy","3"
57.8377652832773,73969.0757255035,3.73376035154797,1.14087493950501,"06/11/2022","All Races/Ethnicity","Fully Vaccinated","During Pregnancy","1"
89.7825608291198,32838.9986816333,1.02495589316823,1.37011474813335,"07/09/2022","All Races/Ethnicity","Fully Vaccinated","Before and During Pregnancy","NULL"
59.2102336601587,18837.0426344709,2.85058070695959,1.14036545413546,"07/03/2021","Asian, NH","Fully Vaccinated","Any","NULL"
63.9803012755467,102619.606102238,4.1881071231328,1.56799666606821,"11/20/2021","All Races/Ethnicity","Fully Vaccinated","Any","3"
49.1291620314354,45416.9544210916,4.04803505074233,1.54268040694296,"05/08/2021","All Races/Ethnicity","Fully Vaccinated","Any","NULL"
53.6510244463803,44531.2485468176,5.09146084566601,1.16369308275171,"02/05/2022","All Races/Ethnicity","Fully Vaccinated","During Pregnancy","NULL"
26.1111242776969,69649.3877346825,1.58945898315869,1.94503274257295,"06/04/2022","All Races/Ethnicity","Fully Vaccinated","Any","NULL"
13.2843623522669,96906.0079921985,4.31678835558705,1.62589256395586,"01/22/2022","All Races/Ethnicity","Fully Vaccinated","Any","NULL"
86.9610881980509,25682.9890812726,2.00803627632558,1.06484517152421,"08/06/2022","Black, NH","Fully Vaccinated","Any","NULL"
81.4776037742849,59412.7371592352,3.93429770739749,1.18091827607714,"09/10/2022","White, NH","Fully Vaccinated","Before and During Pregnancy","3"
62.3706866415683,76927.4165601991,4.47534989356063,1.66773813543841,"03/06/2021","Black, NH","Fully Vaccinated","Before and During Pregnancy","NULL"
71.8307078171521,44066.2460880799,3.64144073938951,1.90672687697224,"02/27/2021","All Races/Ethnicity","Fully Vaccinated","Before and During Pregnancy","NULL"
2.22261571115814,13196.2477653951,2.84760755044408,1.81581871630624,"11/06/2021","Asian, NH","Fully Vaccinated","Any","NULL"
43.1449761895929,68258.8191367909,4.49236202775501,1.44247443974018,"04/01/2023","Black, NH","Fully Vaccinated","Any","NULL"
