Week_Ending_Date,Race and Ethnicity,Vaccination Coverage Status,Pregnancy Status at Vaccination,Vaccination Coverage Percentage (%),Denominator,Date Order,Race Sort Order,Visual Figure Number,Pregnancy Vaccination Order
01/09/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0,"103,890",,1,1,2
01/16/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0.1,"104,250",,1,1,2
01/23/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0.2,"104,326",,1,1,2
01/30/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0.3,"104,623",,1,1,2
02/06/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0.5,"104,946",,1,1,2
02/13/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0.7,"104,927",,1,1,2
02/20/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,0.9,"105,005",,1,1,2
02/27/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,1,"105,186",,1,1,2
03/06/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,1.2,"105,374",,1,1,2
03/13/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,1.3,"105,426",,1,1,2
03/20/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,1.4,"105,416",,1,1,2
03/27/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,1.6,"105,411",,1,1,2
04/03/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,1.9,"105,268",,1,1,2
04/10/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,2.2,"105,282",,1,1,2
04/17/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,2.5,"105,334",,1,1,2
04/24/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,2.7,"105,124",,1,1,2
05/01/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3,"105,018",,1,1,2
05/08/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.4,"104,992",,1,1,2
05/15/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.7,"104,992",,1,1,2
05/22/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,3.9,"105,044",,1,1,2
05/29/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4,"104,914",,1,1,2
06/05/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.1,"104,718",,1,1,2
06/12/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.2,"104,721",,1,1,2
06/19/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,"104,629",,1,1,2
06/26/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,"104,633",,1,1,2
07/03/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,"104,400",,1,1,2
07/10/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,"104,178",,1,1,2
07/17/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,"104,033",,1,1,2
07/24/2021,All Races/Ethnicity,Fully Vaccinated,Before and During Pregnancy,4.3,"103,905",,1,1,2
